SCHOOLDIST,status
CHESTER,None Reported
CHITTENANGO,None Reported
CHURCHVILLE-CHILI,None Reported
CINCINNATUS,None Reported
CLARENCE,None Reported
CLARKSTOWN,None Reported
CLEVELAND HILL,None Reported
CLIFTON FINE,None Reported
CLINTON,None Reported
CLYDE-SAVANNAH,None Reported
CLYMER,None Reported
COBLESKILL-RICHMONDV,None Reported
COHOES,None Reported
COLD SPRING HARBOR,None Reported
COLTON PIERREPONT,None Reported
COMMACK,None Reported
COMSEWOGUE,None Reported
CONNETQUOT,None Reported
COOPERSTOWN,None Reported
COPENHAGEN,None Reported
COPIAGUE,None Reported
CORINTH,None Reported
CORNING,None Reported
CORNWALL,None Reported
CORTLAND,None Reported
COXSACKIE-ATHENS,None Reported
CROTON HARMON,None Reported
CROWN POINT,None Reported
CUBA-RUSHFORD,None Reported
DALTON-NUNDA,None Reported
DANSVILLE,None Reported
DE RUYTER,None Reported
DEER PARK,None Reported
DELHI,None Reported
DEPEW,None Reported
DEPOSIT,None Reported
DOBBS FERRY,None Reported
DOLGEVILLE,None Reported
DOVER,None Reported
DOWNSVILLE,None Reported
DRYDEN,None Reported
DUANESBURG,None Reported
DUNDEE,None Reported
DUNKIRK,None Reported
E.SYRACUSE-MINOA,None Reported
EAST AURORA,None Reported
EAST BLOOMFIELD,None Reported
EAST GREENBUSH,None Reported
EAST HAMPTON,None Reported
EAST IRONDEQUOIT,None Reported
EAST ISLIP,None Reported
EAST MEADOW,None Reported
EAST MORICHES,None Reported
EAST QUOGUE,None Reported
EAST RAMAPO,None Reported
EAST ROCHESTER,None Reported
EAST ROCKAWAY,None Reported
EAST WILLISTON,None Reported
EASTCHESTER,None Reported
EASTPORT-SOUTH MANOR,None Reported
EDEN,None Reported
EDGEMONT,None Reported
EDINBURG,None Reported
EDMESTON,None Reported
EDWARDS-KNOX,None Reported
ELBA,None Reported
ELDRED,None Reported
ELLENVILLE,None Reported
ELLICOTTVILLE,None Reported
ELMIRA CITY,None Reported
ELMIRA HEIGHTS,None Reported
ELMONT,None Reported
ELMSFORD,None Reported
ELWOOD,None Reported
EVANS-BRANT,None Reported
FABIUS-POMPEY,None Reported
FAIRPORT,None Reported
FALCONER,None Reported
FALLSBURG,None Reported
FARMINGDALE,None Reported
FAYETTEVILLE-MANLIUS,None Reported
FILLMORE,None Reported
FIRE ISLAND,None Reported
FISHERS ISLAND,None Reported
FLORAL PARK,None Reported
FLORIDA,None Reported
FONDA-FULTONVILLE,None Reported
FORESTVILLE,None Reported
FORT ANN,None Reported
FORT EDWARD,None Reported
FORT PLAIN,None Reported
FRANKFURT-SCHUYLER,None Reported
FRANKLIN,None Reported
FRANKLIN SQUARE,None Reported
FRANKLINVILLE,None Reported
FREDONIA,None Reported
FREEPORT,None Reported
FREWSBURG,None Reported
FRIENDSHIP,None Reported
FRONTIER,None Reported
FULTON,None Reported
GALWAY,None Reported
GANANDA,None Reported
GARDEN CITY,None Reported
GARRISON UNION FREE,None Reported
GATES-CHILI,None Reported
GENERAL BROWN,None Reported
GENESEO,None Reported
GENEVA CITY,None Reported
GEORGETOWN-S.OTSELIC,None Reported
GERMANTOWN,None Reported
GILBERTSVL-MT UPTON,None Reported
GILBOA-CONESVILLE,None Reported
GLEN COVE,None Reported
GLENS FALLS,None Reported
GLENS FALLS COMMON,None Reported
GLOVERSVILLE,None Reported
GORHAM-MIDDLESEX,None Reported
GOSHEN,None Reported
GOUVERNEUR,None Reported
GOWANDA,None Reported
GRAND ISLAND,None Reported
GRANVILLE,None Reported
GREAT NECK,None Reported
GREECE,None Reported
GREEN ISLAND,None Reported
GREENBURGH,None Reported
GREENE,None Reported
GREENPORT,None Reported
GREENVILLE,None Reported
GREENWICH,None Reported
GREENWOOD LAKE,None Reported
GROTON,None Reported
GUILDERLAND,None Reported
HADLEY-LUZERNE,None Reported
HALDANE,None Reported
HALF HOLLOW HILLS,None Reported
HAMBURG,None Reported
HAMILTON,None Reported
HAMMOND,None Reported
HAMMONDSPORT,None Reported
HAMPTON BAYS,None Reported
HANCOCK,None Reported
HANNIBAL,None Reported
HARBORFIELDS,None Reported
HARPURSVILLE,None Reported
HARRISON,None Reported
HARRISVILLE,None Reported
HARTFORD,None Reported
HASTINGS ON HUDSON,None Reported
HAUPPAUGE,None Reported
HAVERSTRAW-STONY PT,None Reported
HEMPSTEAD,None Reported
HENDRICK HUDSON,None Reported
HERKIMER,None Reported
HERMON-DEKALB,None Reported
HERRICKS,None Reported
HEUVELTON,None Reported
HEWLETT WOODMERE,None Reported
HICKSVILLE,None Reported
HIGHLAND,None Reported
HIGHLAND FALLS,None Reported
HILTON,None Reported
HINSDALE,None Reported
HOLLAND,None Reported
HOLLAND PATENT,None Reported
HOLLEY,None Reported
HOMER,None Reported
HONEOYE,None Reported
HONEOYE FALLS-LIMA,None Reported
HOOSICK FALLS,None Reported
HOOSICK VALLEY,None Reported
HOPEVALE,None Reported
HORNELL,None Reported
HORSEHEADS,None Reported
HUDSON,None Reported
HUDSON FALLS,None Reported
HUNTER-TANNERSVILLE,None Reported
HUNTINGTON,None Reported
HYDE PARK,None Reported
ICHABOD CRANE,None Reported
INDIAN LAKE,None Reported
INDIAN RIVER,None Reported
INLET,None Reported
IROQUOIS,None Reported
IRVINGTON,None Reported
ISLAND PARK,None Reported
ISLAND TREES,None Reported
ISLIP,None Reported
ITHACA,None Reported
JAMESTOWN,None Reported
JAMESVILLE-DEWITT,None Reported
JASPER-TROUPSBURG,None Reported
JEFFERSON,None Reported
JERICHO,None Reported
JOHNSBURG,None Reported
JOHNSON CITY,None Reported
JOHNSTOWN,None Reported
JORDAN-ELBRIDGE,None Reported
KATONAH LEWISBORO,None Reported
KEENE,None Reported
KENDALL,None Reported
KENMORE,None Reported
KINGS PARK,None Reported
KINGSTON,None Reported
KIRYAS JOEL,None Reported
LA FAYETTE,None Reported
LACKAWANA,None Reported
LAFARGEVILLE,None Reported
LAKE GEORGE,None Reported
LAKE PLACID,None Reported
LAKE PLEASANT,None Reported
LAKELAND,None Reported
LANCASTER,None Reported
LANSING,None Reported
LANSINGBURGH,None Reported
LAURENS,None Reported
LAWRENCE,None Reported
LE ROY,None Reported
LETCHWORTH,None Reported
LEVITTOWN,None Reported
LEWISTON-PORTER,None Reported
LIBERTY,None Reported
LINDENHURST,None Reported
LISBON,None Reported
LITTLE FALLS,None Reported
LIVERPOOL,None Reported
LIVINGSTON MANOR,None Reported
LIVONIA,None Reported
LOCKPORT,None Reported
LOCUST VALLEY,None Reported
LONG BEACH,None Reported
LONG LAKE,None Reported
LONGWOOD,None Reported
LOWVILLE,None Reported
LYDONVILLE,None Reported
LYME,None Reported
LYNBROOK,None Reported
LYNCOURT,None Reported
LYONS,None Reported
MADISON,None Reported
MADRID-WADDINGTON,None Reported
MAHOPAC,None Reported
MAINE-ENDWELL,None Reported
MALONE,None Reported
MALVERNE,None Reported
MAMARONECK,None Reported
MANCHESTER-SHORTSVIL,None Reported
MANHASSET,None Reported
MANHATTAN 1,None Reported
MANHATTAN 2,None Reported
MANHATTAN 3,None Reported
MANHATTAN 4,None Reported
MANHATTAN 5,None Reported
MANHATTAN 6,None Reported
MAPLEWOOD,None Reported
MARATHON,None Reported
MARCELLUS,None Reported
MARGARETVILLE,None Reported
MARION,None Reported
MARLBORO,None Reported
MASSAPEQUA,None Reported
MASSENA,None Reported
MATTITUCK - CUTCHOQU,None Reported
MAYFIELD,None Reported
MCGRAW,None Reported
MECHANICVILLE,None Reported
MEDINA,None Reported
MENANDS,None Reported
MERRICK,None Reported
MEXICO,None Reported
MIDDLE COUNTRY,None Reported
MIDDLEBURGH,None Reported
MIDDLETOWN,None Reported
MILFORD,None Reported
MILLBROOK,None Reported
MILLER PLACE,None Reported
MINEOLA,None Reported
MINERVA,None Reported
MINISINK VALLEY,None Reported
MOHONASEN,None Reported
MONROE-WOODBURY,None Reported
MONTAUK,None Reported
MONTICELLO,None Reported
MORAVIA,None Reported
MORIAH,None Reported
MORRIS,None Reported
MORRISTOWN,None Reported
MORRISVILLE-EATON,None Reported
MOUNT MARKHAM,None Reported
MOUNT MORRIS,None Reported
MOUNT SINAI,None Reported
MOUNT VERNON,None Reported
MT PLEASANT CENT,None Reported
NANUET,None Reported
NAPLES,None Reported
NEW HARTFORD,None Reported
NEW HYDE PARK,None Reported
NEW LEBANON,None Reported
NEW PALTZ,None Reported
NEW ROCHELLE,None Reported
NEW SUFFOLK,None Reported
NEW YORK MILLS,None Reported
NEWARK,None Reported
NEWARK VALLEY,None Reported
NEWBURGH,None Reported
NEWCOMB,None Reported
NEWFANE,None Reported
NEWFIELD,None Reported
NIAGARA FALLS,None Reported
NIAGARA-WHEATFIELD,None Reported
NISKAYUNA,None Reported
NO.TONAWANDA,None Reported
NORTH BABYLON,None Reported
NORTH BELLMORE,None Reported
NORTH COLLINS,None Reported
NORTH GREENBUSH,None Reported
NORTH MERRICK,None Reported
NORTH ROSE-WOLCOTT,None Reported
NORTH SALEM,None Reported
NORTH SHORE,None Reported
NORTH SYRACUSE,None Reported
NORTH WARREN,None Reported
NORTHEAST,None Reported
NORTHEASTERN CLINTON,None Reported
NORTHERN ADIRONDACK,None Reported
NORTHPORT,None Reported
NORTHVILLE,None Reported
NORWICH CITY,None Reported
NORWOOD-NORFOLK,None Reported
NYACK,None Reported
OAKFIELD-ALABAMA,None Reported
OCEANSIDE,None Reported
ODESSA-MONTOUR,None Reported
OESJ,None Reported
OGDENSBURG,None Reported
OLEAN,None Reported
ONEIDA CITY,None Reported
ONEONTA,None Reported
ONONDAGA,None Reported
ONTEORA,None Reported
ORCHARD PARK,None Reported
ORISKANY,None Reported
OSSINING,None Reported
OSWEGO,None Reported
OTEGO-UNADILLA,None Reported
OWEGO-APALACHIN,None Reported
OXFORD,None Reported
OYSTER BAY,None Reported
OYSTERPONDS,None Reported
PALMYRA-MACEDON,None Reported
PANAMA,None Reported
PARISHVILLE-HOPKI.,None Reported
PATCHOGUE-MEDFORD,None Reported
PAVILION,None Reported
PAWLING,None Reported
PEARL RIVER,None Reported
PEEKSKILL,None Reported
PELHAM,None Reported
PEMBROKE,None Reported
PENFIELD,None Reported
PENN YAN,None Reported
PERRY,None Reported
PERU,None Reported
PHELPS-CLIFTON,None Reported
PHOENIX,None Reported
PINE BUSH,None Reported
PINE PLAINS,None Reported
PINE VALLEY,None Reported
PISECO COMMON,None Reported
PITTSFORD,None Reported
PLAINEDGE,None Reported
PLAINVIEW,None Reported
PLATTSBURGH,None Reported
PLEASANTVILLE,None Reported
POCANTICO HILLS,None Reported
POLAND,None Reported
PORT BYRON,None Reported
PORT CHESTER-RYE,None Reported
PORT JEFFERSON,None Reported
PORT JERVIS,None Reported
PORT WASHINGTON,None Reported
PORTVILLE,None Reported
POTSDAM,None Reported
POUGHKEEPSIE,None Reported
PRATTSBURG,None Reported
PULASKI,None Reported
PUTNAM,None Reported
PUTNAM VALLEY,None Reported
QUEENS 24,None Reported
QUEENS 25,None Reported
QUEENS 26,None Reported
QUEENS 27,None Reported
QUEENS 28,None Reported
QUEENS 29,None Reported
QUEENS 30,None Reported
QUEENSBURY,None Reported
QUOGUE,None Reported
RAMAPO(EDWIN GOULD),None Reported
RANDOLPH,None Reported
RAQUETTE LAKE,None Reported
RAVENA-COEYMANS,None Reported
RED CREEK,None Reported
RED HOOK,None Reported
REMSEN,None Reported
REMSENBURG,None Reported
RENSSELAER,None Reported
RHINEBECK,None Reported
RICHFIELD SPRINGS,None Reported
RICHMOND 31,None Reported
RIPLEY,None Reported
RIVERHEAD,None Reported
ROCHESTER,None Reported
ROCKVILLE CENTRE,None Reported
ROCKY POINT,None Reported
ROME,None Reported
ROMULUS,None Reported
RONDOUT VALLEY,None Reported
ROOSEVELT,None Reported
ROSCOE,None Reported
ROSLYN,None Reported
ROXBURY,None Reported
ROYALTON-HARTLAND,None Reported
RUSH-HENRIETTA,None Reported
RYE,None Reported
RYE NECK,None Reported
S.GLENS FALLS,None Reported
SACHEM,None Reported
SACKETS HARBOUR,None Reported
SAG HARBOR,None Reported
SAGAPONACK,None Reported
SALAMANCA,None Reported
SALEM,None Reported
SALMON RIVER,None Reported
SANDY CREEK,None Reported
SARANAC,None Reported
SARANAC LAKE,None Reported
SARATOGA SPRINGS,None Reported
SAUGERTIES,None Reported
SAUQUOIT VALLEY,None Reported
SAYVILLE,None Reported
SCARSDALE,None Reported
SCHALMONT,None Reported
SCHENECTADY,None Reported
SCHENEVUS,None Reported
SCHODACK,None Reported
SCHOHARIE,None Reported
SCHROON LAKE,None Reported
SCHUYLERVILLE,None Reported
SCIO,None Reported
SCOTIA-GLENVILLE,None Reported
SEAFORD,None Reported
SENECA FALLS,None Reported
Sewanhaka Central,None Reported
SHARON SPRINGS,None Reported
SHELTER ISLAND,None Reported
SHENENDEHOWA,None Reported
SHERBURNE-EARLVILLE,None Reported
SHERMAN,None Reported
SHERRILL,None Reported
SHOREHAM-WADING R,None Reported
SIDNEY,None Reported
SILVER CREEK,None Reported
SKANEATELES,None Reported
SMITHTOWN,None Reported
SO MOUNTAIN,None Reported
SODUS,None Reported
SOLVAY,None Reported
SOMERS,None Reported
SOUTH COLONIE,None Reported
SOUTH COUNTRY,None Reported
SOUTH HUNTINGTON,None Reported
SOUTH JEFFERSON,None Reported
SOUTH KORTRIGHT,None Reported
SOUTH LEWIS,None Reported
SOUTH ORANGETOWN,None Reported
SOUTH SENECA,None Reported
SOUTHAMPTON,None Reported
SOUTHERN CAYUGA,None Reported
SOUTHOLD,None Reported
SOUTHWESTERN,None Reported
SPACKENKILL,None Reported
SPENCER-VAN ETTEN,None Reported
SPENCERPORT,None Reported
SPRINGS,None Reported
SPRINGVILLE-GRIFFITH,None Reported
ST. REGIS FALLS,None Reported
STAMFORD,None Reported
STARPOINT,None Reported
STILLWATER,None Reported
STOCKBRIDGE,None Reported
SULLIVAN WEST,None Reported
SUSQUEHANNA VALLEY,None Reported
SWEET HOME,None Reported
SYOSSET,None Reported
SYRACUSE,None Reported
TACONIC HILLS,None Reported
TARRYTOWN,None Reported
THOUSAND ISLAND,None Reported
THREE VILLAGE,None Reported
TICONDEROGA,None Reported
TIOGA,None Reported
TONAWANDA,None Reported
TRI-VALLEY,None Reported
TROY,None Reported
TRUMANSBURG,None Reported
TUCKAHOE,None Reported
TUCKAHOE COMMON,None Reported
TULLY,None Reported
TUPPER LAKE,None Reported
TUSCARORA IND.RES.,None Reported
TUXEDO,None Reported
UNADILLA VALLEY,None Reported
UNION SPRINGS,None Reported
UNION-ENDICOTT,None Reported
UNIONDALE,None Reported
UTICA,None Reported
VALHALLA,None Reported
VALLEY STR HEMP 13,None Reported
VALLEY STR HEMP 24,None Reported
VALLEY STR HEMP 30,None Reported
VALLEY STRM CENTRAL,None Reported
VALLEY-MONTGOMERY,None Reported
VAN HORNSVILLE,None Reported
VESTAL,None Reported
VICTOR,None Reported
VOORHEESVILLE,None Reported
W. CANADA VALLEY,None Reported
WAINSCOTT,None Reported
WALLKILL,None Reported
WALTON,None Reported
WANTAGH,None Reported
WAPPINGERS,None Reported
WARRENSBURG,None Reported
WARSAW,None Reported
WARWICK VALLEY,None Reported
WASHINGTONVILLE,None Reported
WATERFORD,None Reported
WATERLOO,None Reported
WATERTOWN,None Reported
WATERVILLE,None Reported
WATERVLIET,None Reported
WATKINS GLEN,None Reported
WAVERLY,None Reported
WAYLAND,None Reported
WAYNE,None Reported
WEBB,None Reported
WEBSTER,None Reported
WEEDSPORT,None Reported
WELLS,None Reported
WELLSVILLE,None Reported
WEST BABYLON,None Reported
WEST GENESEE,None Reported
WEST HEMPSTEAD,None Reported
WEST IRONDEQUOIT,None Reported
WEST ISLIP,None Reported
WEST SENECA,None Reported
WEST VALLEY,None Reported
WESTBURY,None Reported
WESTFIELD,None Reported
WESTHAMPTON BEACH,None Reported
WESTHILL,None Reported
WESTMORELAND,None Reported
WHEATLAND-CHILI,None Reported
WHITE PLAINS,None Reported
WHITEHALL,None Reported
WHITESBORO,None Reported
WHITESVILLE,None Reported
WHITNEY PT,None Reported
WILLIAM FLOYD,None Reported
WILLIAMSON,None Reported
WILLIAMSVILLE,None Reported
WILLSBORO,None Reported
WILSON,None Reported
WINDSOR,None Reported
WORCESTER,None Reported
WYANDANCH,None Reported
WYNANTSKILL,None Reported
WYOMING,None Reported
YONKERS,None Reported
YORK,None Reported
YORKSHIRE-PIONEER,None Reported
YORKTOWN,None Reported
