SCHOOLDIST,status
CHITTENANGO,None Reported
CHURCHVILLE-CHILI,None Reported
CINCINNATUS,None Reported
CLARENCE,None Reported
CLARKSTOWN,None Reported
CLEVELAND HILL,None Reported
CLIFTON FINE,None Reported
CLINTON,None Reported
CLYDE-SAVANNAH,None Reported
CLYMER,None Reported
COBLESKILL-RICHMONDV,None Reported
COHOES,None Reported
COLD SPRING HARBOR,None Reported
COLTON PIERREPONT,None Reported
COMMACK,None Reported
COMSEWOGUE,None Reported
CONNETQUOT,None Reported
COOPERSTOWN,None Reported
COPENHAGEN,None Reported
COPIAGUE,None Reported
CORINTH,None Reported
CORNING,None Reported
CORNWALL,Delay
CORTLAND,None Reported
COXSACKIE-ATHENS,Delay
CROTON HARMON,Delay
CROWN POINT,None Reported
CUBA-RUSHFORD,None Reported
DALTON-NUNDA,None Reported
DANSVILLE,None Reported
DE RUYTER,None Reported
DEER PARK,None Reported
DELHI,None Reported
DEPEW,None Reported
DEPOSIT,None Reported
DOBBS FERRY,Delay
DOLGEVILLE,None Reported
DOVER,Delay
DOWNSVILLE,None Reported
DRYDEN,None Reported
DUANESBURG,None Reported
DUNDEE,None Reported
DUNKIRK,None Reported
E.SYRACUSE-MINOA,None Reported
EAST AURORA,None Reported
EAST BLOOMFIELD,None Reported
EAST GREENBUSH,None Reported
EAST HAMPTON,None Reported
EAST IRONDEQUOIT,None Reported
EAST ISLIP,None Reported
EAST MEADOW,None Reported
EAST MORICHES,None Reported
EAST QUOGUE,None Reported
EAST RAMAPO,Delay
EAST ROCHESTER,None Reported
EAST ROCKAWAY,None Reported
EAST WILLISTON,None Reported
EASTCHESTER,Delay
EASTPORT-SOUTH MANOR,None Reported
EDEN,None Reported
EDGEMONT,Delay
EDINBURG,None Reported
EDMESTON,None Reported
EDWARDS-KNOX,None Reported
ELBA,None Reported
ELDRED,None Reported
ELLENVILLE,Delay
ELLICOTTVILLE,None Reported
ELMIRA CITY,None Reported
ELMIRA HEIGHTS,None Reported
ELMONT,None Reported
ELMSFORD,Delay
ELWOOD,None Reported
EVANS-BRANT,None Reported
FABIUS-POMPEY,None Reported
FAIRPORT,None Reported
FALCONER,None Reported
FALLSBURG,None Reported
FARMINGDALE,None Reported
FAYETTEVILLE-MANLIUS,None Reported
FILLMORE,None Reported
FIRE ISLAND,None Reported
FISHERS ISLAND,None Reported
FLORAL PARK,None Reported
FLORIDA,Delay
FONDA-FULTONVILLE,None Reported
FORESTVILLE,None Reported
FORT ANN,None Reported
FORT EDWARD,None Reported
FORT PLAIN,None Reported
FRANKFURT-SCHUYLER,None Reported
FRANKLIN,None Reported
FRANKLIN SQUARE,None Reported
FRANKLINVILLE,None Reported
FREDONIA,None Reported
FREEPORT,None Reported
FREWSBURG,None Reported
FRIENDSHIP,None Reported
FRONTIER,None Reported
FULTON,None Reported
GALWAY,None Reported
GANANDA,None Reported
GARDEN CITY,None Reported
GARRISON UNION FREE,None Reported
GATES-CHILI,None Reported
GENERAL BROWN,None Reported
GENESEO,None Reported
GENEVA CITY,None Reported
GEORGETOWN-S.OTSELIC,None Reported
GERMANTOWN,Delay
GILBERTSVL-MT UPTON,None Reported
GILBOA-CONESVILLE,None Reported
GLEN COVE,None Reported
GLENS FALLS,None Reported
GLENS FALLS COMMON,None Reported
